Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-02-15,150.0647,150.6277,148.9666,150.6097,77775721.0,0.0,0.0
2024-02-16,148.467,148.9898,148.7611,148.8013,74430486.0,0.0,0.0
2024-02-19,150.0847,150.2297,149.8883,150.2075,56080362.0,0.0,0.0
2024-02-20,151.3029,152.2095,150.0673,151.9732,117379625.0,0.0,0.0
2024-02-21,147.9659,148.9751,147.9607,148.5159,116084708.0,0.0,0.0
2024-02-22,146.2579,146.4985,145.3408,146.2717,64265912.0,0.0,0.0
2024-02-23,145.9677,146.9589,146.1776,146.5549,102476284.0,0.0,0.0
2024-02-26,145.5095,146.4362,145.6354,146.0582,65777252.0,0.0,0.0
2024-02-27,145.9102,146.4909,145.9434,146.0871,101532954.0,0.0,0.0
2024-02-28,144.5758,144.6597,144.1549,144.6572,82627743.0,0.0,0.0
2024-02-29,145.8025,146.8863,145.9773,146.2503,72315271.0,0.0,0.0
2024-03-01,147.6164,148.0136,147.2837,147.6808,41524734.0,0.0,0.0
2024-03-04,147.3124,148.0999,147.2553,147.857,88913177.0,0.0,0.0
2024-03-05,148.3257,151.2249,148.9898,149.9306,58897706.0,0.0,0.0
2024-03-06,149.6747,151.831,149.9958,150.8344,49517277.0,0.0,0.0
2024-03-07,148.5608,149.6056,148.8287,149.3468,47388749.0,0.0,0.0
2024-03-08,149.6466,151.3175,148.8366,150.0691,118368984.0,0.0,0.0
2024-03-11,147.0338,149.3221,147.5715,148.4116,39295513.0,0.0,0.0
2024-03-12,148.6458,151.2407,148.7614,150.0443,101867325.0,0.0,0.0
2024-03-13,149.8095,150.5346,149.8336,150.0144,107953014.0,0.0,0.0
2024-03-14,149.245,150.0222,149.4254,149.7419,32794762.0,0.0,0.0
2024-03-15,148.5734,149.2885,148.2009,148.5828,83039804.0,0.0,0.0
2024-03-18,150.65,151.1267,150.7252,150.8389,81966430.0,0.0,0.0
2024-03-19,149.8403,151.806,150.4836,150.6197,62280551.0,0.0,0.0
2024-03-20,149.7112,150.6275,149.1075,149.9075,90004286.0,0.0,0.0
2024-03-21,149.2461,149.4511,148.9836,149.3351,66780243.0,0.0,0.0
2024-03-22,149.4112,150.818,149.6063,150.3522,69572243.0,0.0,0.0
2024-03-25,149.6859,151.5189,151.0457,151.0734,68836710.0,0.0,0.0
2024-03-26,151.5279,151.9343,151.6749,151.8842,102060689.0,0.0,0.0
2024-03-27,151.0664,152.7918,152.3398,152.7326,86983426.0,0.0,0.0
2024-03-28,156.2087,156.9681,156.3293,156.7713,64114228.0,0.0,0.0
2024-03-29,155.7595,156.1129,154.1774,156.071,113409245.0,0.0,0.0
2024-04-01,154.8853,155.2842,155.0163,155.1767,102185298.0,0.0,0.0
2024-04-02,152.9382,155.1932,152.3829,153.7302,113950165.0,0.0,0.0
2024-04-03,154.7611,156.4501,154.6555,154.9327,95745080.0,0.0,0.0
2024-04-04,155.3578,158.8209,156.4709,157.1088,65234278.0,0.0,0.0
2024-04-05,156.0973,157.5853,156.6821,156.9569,99564753.0,0.0,0.0
2024-04-08,154.5433,157.1537,154.9001,155.4446,59633621.0,0.0,0.0
2024-04-09,153.7273,154.955,152.8631,153.9758,54383589.0,0.0,0.0
2024-04-10,154.8979,155.4863,153.4996,155.2447,117237340.0,0.0,0.0
2024-04-11,156.0423,156.8021,156.5517,156.6982,81114080.0,0.0,0.0
2024-04-12,157.7195,158.8175,156.9791,157.786,64532375.0,0.0,0.0
2024-04-15,156.2591,156.8419,155.5863,156.5935,71563612.0,0.0,0.0
2024-04-16,156.4834,158.1524,155.1036,157.0932,56209464.0,0.0,0.0
2024-04-17,156.7164,158.7113,156.555,157.3763,89287806.0,0.0,0.0
2024-04-18,157.1474,157.8577,157.546,157.8529,61538226.0,0.0,0.0
2024-04-19,158.7358,159.6043,158.5106,159.5761,79895912.0,0.0,0.0
2024-04-22,159.9854,161.054,159.7509,160.0688,63283634.0,0.0,0.0
2024-04-23,161.2588,161.8843,160.7057,161.4428,58864399.0,0.0,0.0
2024-04-24,160.4474,161.8176,161.0742,161.6384,117321214.0,0.0,0.0
2024-04-25,161.4371,163.4303,161.375,162.2651,61115772.0,0.0,0.0
2024-04-26,162.9495,164.3983,163.5424,163.5644,36346832.0,0.0,0.0
2024-04-29,159.995,161.4324,160.3168,160.7935,64073350.0,0.0,0.0
2024-04-30,159.3377,160.9789,159.2047,160.242,77892960.0,0.0,0.0
2024-05-01,159.3396,159.7055,158.7297,159.4038,38517579.0,0.0,0.0
2024-05-02,157.8114,158.31,157.719,158.2497,57511597.0,0.0,0.0
2024-05-03,156.8352,158.8446,156.1328,157.7911,44945636.0,0.0,0.0
2024-05-06,160.3546,161.0225,159.8109,160.7116,75058345.0,0.0,0.0
2024-05-07,157.181,160.6332,158.3765,159.1141,95080242.0,0.0,0.0
2024-05-08,159.9504,162.9229,159.8107,161.0381,117163221.0,0.0,0.0
2024-05-09,156.8174,157.9069,157.2035,157.8818,65018704.0,0.0,0.0
2024-05-10,156.3813,157.9619,156.6212,157.3115,107693275.0,0.0,0.0
2024-05-13,156.9319,158.0258,157.1855,157.6821,49308507.0,0.0,0.0
2024-05-14,156.954,160.6888,158.3473,158.8588,100244732.0,0.0,0.0
2024-05-15,159.2652,160.7248,158.7,160.2845,80640516.0,0.0,0.0
2024-05-16,160.1409,163.1334,159.9901,161.8824,98235597.0,0.0,0.0
2024-05-17,160.755,162.1094,159.9935,161.2709,97998558.0,0.0,0.0
2024-05-20,159.5949,161.1162,158.7799,160.4428,77918907.0,0.0,0.0
2024-05-21,161.6115,162.8777,161.3879,162.1681,53168012.0,0.0,0.0
2024-05-22,161.6601,163.2493,160.3981,161.8609,77356574.0,0.0,0.0
2024-05-23,159.1207,159.9566,158.8056,159.4658,104411089.0,0.0,0.0
2024-05-24,155.738,158.7279,156.5172,157.3747,117359314.0,0.0,0.0
2024-05-27,154.4009,157.7512,154.7628,155.7102,113475437.0,0.0,0.0
2024-05-28,156.577,157.0058,156.532,156.7046,46332035.0,0.0,0.0
2024-05-29,156.4835,157.8736,155.9851,157.0354,83765507.0,0.0,0.0
2024-05-30,158.2797,158.4135,158.2156,158.4053,39413548.0,0.0,0.0
2024-05-31,157.6125,159.1278,157.1824,157.6583,90205289.0,0.0,0.0
2024-06-03,157.4335,158.3517,157.6501,158.0218,119310216.0,0.0,0.0
2024-06-04,158.2602,160.2009,158.3469,159.2762,34731839.0,0.0,0.0
2024-06-05,158.5226,158.8189,158.588,158.7495,89091537.0,0.0,0.0
2024-06-06,158.2996,161.7468,157.7955,159.6859,115096790.0,0.0,0.0
2024-06-07,158.4713,159.2754,156.766,158.4859,106246597.0,0.0,0.0
2024-06-10,157.4158,158.951,157.5921,157.8601,65323626.0,0.0,0.0
2024-06-11,155.832,157.4925,157.1869,157.2015,39352971.0,0.0,0.0
2024-06-12,153.7916,156.8932,154.3702,155.0237,113151036.0,0.0,0.0
2024-06-13,153.7965,156.3942,154.2091,155.9947,112919028.0,0.0,0.0
2024-06-14,154.599,155.3676,154.3939,155.1805,82107977.0,0.0,0.0
2024-06-17,154.5185,156.6104,155.0494,155.2659,118100524.0,0.0,0.0
2024-06-18,155.7341,156.817,155.7258,156.2267,30415691.0,0.0,0.0
2024-06-19,155.6536,157.4754,156.9399,157.1289,85494956.0,0.0,0.0
2024-06-20,157.8746,158.8282,158.1394,158.4519,33468779.0,0.0,0.0
2024-06-21,156.8367,159.4638,156.7818,158.328,114212484.0,0.0,0.0
2024-06-24,156.3726,158.955,157.2893,157.5889,91237692.0,0.0,0.0
2024-06-25,156.3282,158.0141,157.2928,157.5012,112208580.0,0.0,0.0
2024-06-26,154.2426,155.1461,153.8006,154.4059,80640121.0,0.0,0.0
